Year,Coal,Oil,Gas,Nuclear,Hydro,Wind,Solar,Biomass,Geothermal
2008,2743767.00,23791.00,31028.00,68394.00,585187.00,14800.00,152.00,14715.00,144.00
2009,2940751.00,16612.00,50813.00,70134.00,615640.00,26900.00,279.00,20700.00,125.00
2010,3250409.00,13236.00,69027.00,73880.00,722172.00,44622.00,699.00,33814.00,125.00
2011,3723315.00,7786.00,84022.00,86350.00,698945.00,70331.00,2604.00,42270.00,125.00
2012,3785022.00,6698.00,85686.00,97394.00,872107.00,95978.00,6344.00,44668.00,125.00
2013,4110826.00,6504.00,90602.00,111613.00,920291.00,141197.00,15451.00,50604.00,109.00
2014,4115215.00,9517.00,114505.00,132538.00,1064337.00,156078.00,29195.00,57393.00,125.00
2015,4108994.00,9679.00,145346.00,170789.00,1130270.00,185766.00,45225.00,63729.00,125.00
2016,4241786.00,10367.00,170488.00,213287.00,1193374.00,237071.00,75256.00,76113.00,125.00
2017,4178200.00,2700.00,203200.00,248100.00,1194700.00,304600.00,117800.00,81300.00,0.00
2018,4482900.00,1500.00,215500.00,295000.00,1232100.00,365800.00,176900.00,93600.00,0.00
2019,4553800.00,1300.00,232500.00,348700.00,1302100.00,405300.00,224000.00,112600.00,0.00
