Year,Coal,Oil,Gas,Nuclear,Hydro,Geothermal,Solar,Wind,Biomass
2020,773805,17495,1627930,789919,291111,16930,90891,337510,18805
2019,964957,18341,1598405,809409,287874,15473,71937,295882,18964
2018,1149490,25230,1482400,807080,292520,15970,63830,272670,20900
2017,1205840,21390,1308890,804950,300330,15930,53290,254300,21610
2016,1239150,24200,1391110,805690,267810,15830,36050,226990,21810
2015,1352400,28250,1346600,797180,249080,15920,24890,190720,21700
2014,1581710,30230,1138630,797170,259370,15880,17690,181655,21650
2013,1581120,27160,1137690,789020,268570,15780,9040,167840,20830
2012,1514040,23190,1237790,769330,276240,15560,4330,140820,19820
2011,1733400,30200,1025300,790200,319400,15300,1820,120200,19200
2010,1847300,37100,999000,807000,260200,15200,1210,94700,18900
2009,1755900,38900,931600,798900,273400,15000,890,73900,18400
2008,1985800,46200,894700,806200,254800,14800,860,55400,17700
2007,2016500,65700,910000,806400,247500,14600,610,34500,16500
