product,Year,values,price_per_thousands,US_inflation_adjusted_price,qty_in_thousands
textile bag,2015,1900369946,2840.0,3104.5573008384936,669144.3471830986
paper bag,2015,3501016887,193.67499999999998,211.71659691545608,18076762.034335874
plastic bag,2015,2576392647,13.27,14.506153303565778,194151668.95252448
textile bag,2016,1802486300,2910.0,3177.2653609471504,619411.0996563574
paper bag,2016,3501091348,191.77,209.38287913018388,18256720.800959483
plastic bag,2016,2615625866,13.34,14.565195847091061,196073902.99850076
textile bag,2017,1900254844,3010.0,3245.555735346634,631313.9016611296
paper bag,2017,3599166834,194.31,209.51625745355628,18522808.059286706
plastic bag,2017,2729661777,9.94,10.717881730679581,274613860.86519116
textile bag,2018,2050953721,2990.0,3156.7517682942803,685937.6993311037
paper bag,2018,3844187712,200.025,211.1803586799543,19218536.24296963
plastic bag,2018,2970140402,10.02,10.578813618163439,296421197.8043912
textile bag,2019,1943312166,3160.0,3256.7675108,614972.2044303798
paper bag,2019,3711655225,190.5,196.333611015,19483754.461942255
plastic bag,2019,2790545998,11.04,11.378073835199999,252766847.64492756
textile bag,2020,1819529912,3240.0,3279.852,561583.3061728395
paper bag,2020,3592578607,187.32500000000002,189.6290975,19178319.00173495
plastic bag,2020,2992703817,10.19,10.315337,293690266.6339549
